municipio,ano,populacao
CAMPO NOVO DO PARECIS,2024,50033
CAMPOS DE JULIO,2024,9608
CAMPO VERDE,2024,47831
CANABRAVA DO NORTE,2024,4480
CANARANA,2024,27657
CARLINDA,2024,10324
CASTANHEIRA,2024,7459
CHAPADA DOS GUIMARAES,2024,19374
CLAUDIA,2024,9436
COCALINHO,2024,6428
COLIDER,2024,32010
COLNIZA,2024,26090
COMODORO,2024,18461
CONFRESA,2024,37541
CONQUISTA D'OESTE,2024,3874
COTRIGUACU,2024,10398
CUIABA,2024,682932
CURVELANDIA,2024,4967
DENISE,2024,6815
DIAMANTINO,2024,22479
DOM AQUINO,2024,7915
FELIZ NATAL,2024,10564
FIGUEIROPOLIS D'OESTE,2024,3112
GAUCHA DO NORTE,2024,9181
GENERAL CARNEIRO,2024,6250
GLORIA D'OESTE,2024,2899
GUARANTA DO NORTE,2024,31328
GUIRATINGA,2024,10532
INDIAVAI,2024,2194
IPIRANGA DO NORTE,2024,8409
ITANHANGA,2024,8049
ITAUBA,2024,5161
ITIQUIRA,2024,12519
JACIARA,2024,29560
JANGADA,2024,7447
JAURU,2024,8076
JUARA,2024,35899
JUINA,2024,47800
JURUENA,2024,10149
JUSCIMEIRA,2024,11620
LAMBARI D'OESTE,2024,4724
LUCAS DO RIO VERDE,2024,92256
LUCIARA,2024,2591
MARCELANDIA,2024,11414
MATUPA,2024,21415
MIRASSOL D'OESTE,2024,27511
NOBRES,2024,15753
NORTELANDIA,2024,5935
NOSSA SENHORA DO LIVRAMENTO,2024,11658
NOVA BANDEIRANTES,2024,14160
NOVA BRASILANDIA,2024,3853
NOVA CANAA DO NORTE,2024,11771
NOVA GUARITA,2024,4579
NOVA LACERDA,2024,6965
NOVA MARILANDIA,2024,3678
NOVA MARINGA,2024,5775
NOVA MONTE VERDE,2024,8451
NOVA MUTUM,2024,61223
NOVA NAZARE,2024,4467
NOVA OLIMPIA,2024,16314
NOVA SANTA HELENA,2024,4431
NOVA UBIRATA,2024,9589
NOVA XAVANTINA,2024,25486
NOVO HORIZONTE DO NORTE,2024,3307
NOVO MUNDO,2024,6444
NOVO SANTO ANTONIO,2024,2040
NOVO SAO JOAQUIM,2024,7160
PARANAITA,2024,11989
PARANATINGA,2024,28204
PEDRA PRETA,2024,18722
PEIXOTO DE AZEVEDO,2024,33599
PLANALTO DA SERRA,2024,3287
POCONE,2024,31269
PONTAL DO ARAGUAIA,2024,7299
PONTE BRANCA,2024,2076
PONTES E LACERDA,2024,54795
PORTO ALEGRE DO NORTE,2024,12524
PORTO DOS GAUCHOS,2024,5690
PORTO ESPERIDIAO,2024,10167
PORTO ESTRELA,2024,3181
POXOREU,2024,24587
PRIMAVERA DO LESTE,2024,92927
QUERENCIA,2024,29820
RESERVA DO CABACAL,2024,2062
RIBEIRAO CASCALHEIRA,2024,10431
RIBEIRAOZINHO,2024,2697
RIO BRANCO,2024,4489
RONDOLANDIA,2024,3527
RONDONOPOLIS,2024,259167
ROSARIO OESTE,2024,15236
SALTO DO CEU,2024,3679
SANTA CARMEM,2024,5677
SANTA CRUZ DO XINGU,2024,2834
