municipio,epi_year,epi_week,precipitation_sum_mm,wind_speed_10m_max,temperature_2m_max,relative_humidity_2m_min,n_eventos_climaticos,severidade_media,severidade_max
AGUA BOA,2016,7,,,,,7,0.0,0
AGUA BOA,2016,8,,,,,7,0.0,0
AGUA BOA,2016,9,,,,,7,0.0,0
AGUA BOA,2016,10,,,,,7,0.0,0
AGUA BOA,2016,11,,,,,7,0.0,0
AGUA BOA,2016,12,,,,,7,0.0,0
AGUA BOA,2016,13,,,,,7,0.0,0
AGUA BOA,2016,14,,,,,7,0.0,0
AGUA BOA,2016,15,,,,,7,0.0,0
AGUA BOA,2016,16,,,,,7,0.0,0
AGUA BOA,2016,17,,,,,7,0.0,0
AGUA BOA,2016,18,,,,,7,0.0,0
AGUA BOA,2016,19,,,,,7,0.0,0
AGUA BOA,2016,20,,,,,7,0.0,0
AGUA BOA,2016,21,,,,,7,0.0,0
AGUA BOA,2016,22,,,,,7,0.0,0
AGUA BOA,2016,23,,,,,7,0.0,0
AGUA BOA,2016,24,,,,,7,0.0,0
AGUA BOA,2016,25,,,,,7,0.0,0
AGUA BOA,2016,26,,,,,7,0.0,0
AGUA BOA,2016,27,,,,,7,0.0,0
AGUA BOA,2016,28,,,,,7,0.0,0
